id|text|author|statement_date|registration_date|main_article_title|main_article_text|main_article_url|topic_id|sub_topics|fact_checker_accuracy|publication_date
5|Έτοιμοι για «απόβαση» στη Λέσβο 150.000 μετανάστες και πρόσφυγες.|Καθημερινή/Βασίλης Νέδος|2020-03-01 00:00:00|2022-06-12 15:31:00|Έτοιμοι για «απόβαση» στη Λέσβο 150.000 μετανάστες και πρόσφυγες.|Προετοιμασμένες για την απόπειρα αθρόων προσελεύσεων λέμβων από τα τουρκικά παράλια είναι οι ελληνικές αρχές, καθώς φαίνεται ότι απέναντι από τη Λέσβο υπάρχουν μετανάστες και πρόσφυγες που υπολογίζονται στις 150.000|https://www.kathimerini.gr/1067139/gallery/epikairothta/ellada/etoimoi-gia-apovash-sth-lesvo-150000-metanastes-kai-prosfyges|1|{Εβρος}|1|2020-03-01 00:00:00
7|«Το 80-85% είναι πλέον οικονομικοί μετανάστες»|Κώστας Μουντζούρης|2020-02-06 00:00:00|2022-06-12 16:36:00|Το 80-85% είναι πλέον οικονομικοί μετανάστες.|Συζήτηση για το προσφυγικό/μεταναστευτικό στην εκπομπή Αποτύπωμα του Σκάι|https://www.youtube.com/watch?v=r6KxsBAIv7U|1|{Λέσβος}|2|2020-02-06 00:00:00
24|Το ποσό των 5.000 ευρώ έκαστος καλούνται να πληρώσουν δύο Παλαιστίνιοι πρόσφυγες που ζουν στον καταυλισμό της ΒΙΑΛ των 6.000 κατοίκων|ΑΠΕ/ΜΠΕ|2020-04-02 23:00:00|2022-06-12 18:35:00|Εξωφρενικό πρόστιμο γιατί δύο προσφυγάκια έπαιζαν ποδόσφαιρο!|Το ποσό των 5.000 ευρώ έκαστος καλούνται να πληρώσουν δύο Παλαιστίνιοι πρόσφυγες που ζουν στον καταυλισμό της ΒΙΑΛ των 6.000 κατοίκων, για παραβίαση των περιοριστικών μέτρων κυκλοφορίας και συγκεκριμένα της διάταξης που απαγορεύει τις συγκεντρώσεις άνω των δέκα ατόμων|https://www.efsyn.gr/ellada/koinonia/237823_exofreniko-prostimo-giati-dyo-prosfygakia-epaizan-podosfairo|1|{Υγεία}|0|2020-04-02 23:00:00
128|«Περάσαμε σχεδόν 1,5 χρόνο καραντίνας λόγω κοροναϊού. Σε αυτό το διάστημα αυξήθηκαν τα κρούσματα ενδοοικογενειακής βίας. Στον τομέα αυτό η ΕΛΑΣ επιδιώκει να αναπτύξει στενή σχέση με την αυτοδιοίκηση». |Παναγιώτης (Τάκης) Θεοδωρικάκος: Υπουργός Προστασίας του Πολίτη |2021-09-23 21:00:00|2022-06-18 15:45:00|Θεοδωρικάκος – Πιθανό να αυξηθούν τα φαινόμενα εγκληματικότητας – «Έρχεται» ψηφιοποίηση των υπηρεσιών της ΕΛ.ΑΣ.|Στο ενδεχόμενο να αυξηθούν τα περιστατικά εγκληματικότητας το προσεχές διάστημα, αναφέρθηκε ο υπουργός Προστασίας του Πολίτη Τάκης Θεοδωρικάκος, επισημαίνοντας πως το πρόβλημα υποστελέχωσης της ΕΛ.ΑΣ, είναι πολύ μεγάλο στην Αττική όπου υπάρχει το 70% της εγκληματικότητας και μόλις το 30% των αστυνομικών μονάδων.|https://www.in.gr/2021/09/24/greece/theodorikakos-pithano-na-ayksithoun-ta-fainomena-egklimatikotitas-erxetai-psifiopoiisi-ton-ypiresion-tis-el/|2|"{'"Ενδοοικογενειακή βία'"}"|4|2022-06-17 21:00:00
152|Τουλάχιστον 17 εκατομμύρια Ευρωπαίοι αντιμετώπισαν προβλήματα που οφείλονται στη μακρά Covid (long Covid) τα έτη 2020 και 2021|in.gr|2022-09-12 22:00:00|2023-03-05 11:30:00|ΠΟΥ: Πάνω από 17 εκατ. ευρωπαίοι με long Covid τα έτη 2020 και 2021|Ο εν λόγω αριθμός αντιστοιχεί στο 16% των 102,4 εκατ. ανθρώπων που προσβλήθηκαν από τον ιό κατά τα δύο πρώτα χρόνια της πανδημίας στις συνολικά 53 χώρες της ευρωπαϊκής ηπείρου.|https://www.in.gr/2022/09/13/b-science/sars-cov2/pou-pano-apo-17-ekat-eyropaioi-long-covid-ta-eti-2020-kai-2021/|1006|{}|3|2023-02-28 23:00:00
162|Οι ροές των τελευταίων δύο ετών είναι οι χαμηλότερες της δεκαετίας|Νότης Μηταράκης, υπουργός Μετανάστευσης και Ασύλου|2023-04-02 09:00:00|2023-04-29 21:23:00|Νότης Μηταράκης στην «Κ»: Στον ΣΥΡΙΖΑ λένε ότι δεν υπάρχουν σύνορα, ο φράχτης στον Έβρο θα επεκταθεί|Θέσαμε δύο βασικούς και μετρήσιμους στόχους: πρώτον, την ουσιαστική μείωση των ροών και δεύτερον τον δραστικό περιορισμό των επιπτώσεων της κρίσης στις τοπικές κοινωνίες.|https://www.karfitsa.gr/synentefkseis/notis-mitarakis-stin-k-ston-syriza-lene-oti-den-yparchoun-synora-o-frachtis-ston-evro-tha-epektathei/|1|{}|1|2023-04-29 22:00:00
170|«Στο περιβάλλον, έχουμε μια μεγάλη επιτυχία στον Δήμο Φυλής την έγκριση της επένδυσης της Ανάπλασης της Χωματερής και τη δημιουργία Πάρκου Ανανεώσιμων Πηγών Ενέργειας» |Ευάγγελος Λιάκος|2023-05-09 21:00:00|2023-09-20 21:13:00|What about climate|""|https://climate.eteron.org/?category=5|1005|{}|4|2023-05-09 21:00:00
169|Η ενέργεια από ΑΠΕ δεν αποθηκεύεται|Κυριάκος Βελόπουλος|2023-05-09 21:00:00|2023-06-19 17:11:00|Debate πολιτικών αρχηγών |Στην τηλεμαχία της 10ης Μαίου 2023 ο αρχηγός της Ελληνικής Λύσης, Κυριάκος Βελόπουλος, είπε ότι η ενέργεια από ΑΠΕ δεν αποθηκεύεται|https://elliniki-lisi.gr/kyriakos-velopoulos-ekloges-2023-debate-politikon-archigon-10-05-2023|1005|{}|1|2023-06-18 21:00:00
59|Εκμετάλλευση στην πλατεία Βικτωρίας: Μισθώνουν κρεβάτια σε μετανάστες|huffingtonpost|2020-09-28 23:00:00|2022-02-15 09:35:00|Εκμετάλλευση στην πλατεία Βικτωρίας: Μισθώνουν κρεβάτια σε μετανάστες|Τους παρείχαν διαμονή σε «άτυπους ξενώνες» με το αζημίωτο.|https://www.huffingtonpost.gr/entry/ekmetalleese-sten-plateia-viktorias-misthonoen-krevatia-se-metanastes_gr_5f732e72c5b6f622a0c4cba1|1|"{Παραμονή,'"Στέγαση προσφύγων'"}"|4|2020-09-28 23:00:00
77|Θεσσαλονίκη: «Βράζει» ο Εύοσμος - Τους επέβαλαν σκληρό lockdown και δημιουργούν hot spot παράνομων μεταναστών|www.pronews.gr, focusfm.gr|2021-02-20 00:00:00|2022-02-25 08:39:00|Θεσσαλονίκη: «Βράζει» ο Εύοσμος - Τους επέβαλαν σκληρό lockdown και δημιουργούν hot spot παράνομων μεταναστών|"Μετά από διαδικτυακό κάλεσμα κάτοικοι μαζεύτηκαν στην πλατεία του Ευόσμου έξω από το Δημαρχείο διαμαρτυρόμενοι για το αυστηρό lockdown που προβλέπει μεταξύ άλλων απαγόρευση κυκλοφορίας από τις 18:00 κάθε μέρα, κλειστό το λιανεμπόριο, κομμωτήρια κλπ αλλά και είσοδο κι έξοδο από τα όρια του Δήμου καθώς επιτρέπεται μόνο σε όσους εργάζονται.

Οι συγκεντρωμένοι αμφισβήτησαν τα κρούσματα της νοτιοαφρικανικής μετάλλαξης για τα οποία επιβλήθηκαν τα νέα μέτρα και αύριο Κυριακή 21 Φεβρουαρίου στις 10:00 προγραμματιζουν νέα συγκέντρωση στο ίδιο σημείο.

Παράλληλα γίνεται διαμαρτυρία και για την πληροφορία ότι επίκειται η δημιουργία hotspot παράνομων μεταναστών στην περιοχή!

Ο Focus FM εξασφάλισε στιγμιότυπα (Φώτο & Βίντεο) απο τη διαμαρτυρία των κατοίκων του Εύοσμου που μπορείτε να δείτε παρακάτω:

Ο δήμαρχος Κορδελιού – Ευόσμου, Κλεάνθης Μανδαλιάνος είπε ότι κατανοεί την αγανάκτηση του κόσμου που αντιμετωπίζει τα οποία οικονομικά προβλήματα που προκαλεί ο κορωνοϊός αλλά και την ψυχική επιβάρυνση που υφίσταται λόγω του lockdown επισήμανε όμως ότι πρέπει να τηρηθούν τα μέτρα…

 "|https://www.pronews.gr/koinonia/964757_megales-oi-antidraseis-ton-politon-ston-eyosmo-gia-tin-epivoli-toy-skliroy-lockdown|1|{Εύοσμος,hotspot,μετανάστες,διαμαρτυρίες,covid}|1|2021-02-20 00:00:00
